RespondantID,Sex,BD_Month,BD_Year,Race_Ethnicity,HGA_Dad,HGA_Mom,SampleType,ResponseParent_Income,NonResponseParent_Income,ResponseParent_Relation,Age,Region,FamilyIncome,HighestDegree,MaritalStatus,EmploymentStatus,YearIncome,Arrests_SLI,GeneralHealth,Depression,Breadwinner,Time1_Income
1896,1,1,1982,4,14,12,1,190777,256094,1,37,4,213100,2,0,1,328451,NA,3,1,1,446871
1897,2,5,1982,4,16,16,1,51000,18000,2,37,2,NA,5,1,1,70000,NA,2,0,1,69000
1898,2,10,1984,4,16,16,1,51000,18000,2,35,3,NA,4,1,1,12000,NA,2,0,1,69000
1899,2,7,1982,4,12,12,1,12000,40000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,52000
1900,2,7,1983,4,12,12,1,12000,40000,1,36,2,NA,2,1,1,23000,NA,3,0,1,52000
1903,2,6,1981,4,NA,NA,1,30000,70000,1,38,4,190000,4,0,1,150000,NA,1,2,1,100000
1904,1,2,1983,2,NA,NA,1,30000,70000,1,36,2,105000,4,1,1,65000,NA,3,0,1,100000
1908,2,5,1981,4,12,13,1,35000,25000,1,38,2,81300,4,1,1,300,NA,1,0,0,60000
1909,2,12,1984,4,12,13,1,35000,25000,1,34,2,100000,4,1,1,55000,NA,2,0,0,60000
1911,1,5,1982,4,12,13,1,30000,20000,1,37,4,90000,2,0,1,40000,NA,1,0,0,50000
1916,2,5,1983,4,12,12,1,48000,30000,1,36,4,113000,2,1,1,45000,NA,3,1,0,78000
1918,1,7,1982,4,16,14,1,7200,61500,1,37,4,97300,4,1,1,97000,NA,2,0,1,68700
1921,2,6,1983,4,12,16,1,41000,17000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58000
1922,1,6,1984,4,12,16,1,41000,17000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58000
1925,1,5,1980,4,NA,NA,1,5000,60000,1,39,4,163010,5,1,1,80000,NA,3,2,1,65000
